1	481436
10	11527
100	244
1001	1
1002	2
1005	3
1006	2
1007	1
101	263
1010	1
1011	1
1012	1
1016	1
1017	1
102	260
1020	1
1024	3
1026	2
1028	2
1029	1
103	255
1030	1
1033	1
1034	1
104	247
1040	1
1041	1
1043	1
1044	1
1047	1
105	244
1051	1
1052	1
1053	1
1055	1
1056	1
1057	1
106	263
1062	1
1064	1
1067	1
1068	1
107	232
1070	1
1071	1
1073	1
1074	2
108	223
1082	2
1083	1
1084	1
1087	1
1088	2
109	221
1090	1
1092	1
1093	1
1094	1
1095	1
1096	1
1097	2
1098	1
1099	1
11	9679
110	225
1100	1
1102	3
1103	1
1105	1
1109	2
111	216
1111	1
1112	1
1114	3
1117	1
112	218
1122	1
1123	1
1124	1
1126	1
1127	2
1128	1
1129	1
113	211
1130	1
1131	1
1133	1
1136	2
1138	1
114	206
1144	1
1146	2
1147	1
1148	1
115	210
1150	2
1156	2
1157	1
116	180
1160	2
1161	1
1162	1
1163	1
1166	1
1167	2
1168	1
117	194
1170	1
1172	1
1175	2
1178	1
118	204
1180	2
1186	1
119	193
1194	1
1195	1
1197	2
1198	1
12	8285
120	195
1201	1
1204	3
1206	1
1209	1
121	169
1211	2
1212	1
1215	1
1216	1
1217	1
1218	2
1219	1
122	201
1220	2
1222	1
1225	2
1226	1
1227	1
123	168
1230	1
1232	1
1234	1
1238	1
1239	1
124	178
1241	1
1242	1
1243	1
1248	1
125	191
1250	3
1254	1
1258	2
1259	1
126	180
1261	1
1267	1
1269	1
127	161
1277	1
128	141
1280	1
1281	1
1282	1
1284	1
12870	1
1289	2
129	146
1295	1
1296	1
13	6957
130	177
1309	1
131	162
1315	1
1316	1
132	189
1320	1
1322	1
1324	1
1325	1
1326	1
133	177
1333	1
1339	1
134	160
1340	2
1342	3
1345	1
1349	2
135	151
1350	1
1351	1
1359	2
136	142
1361	2
1365	1
1367	1
1368	2
137	164
1370	1
1371	1
1374	1
138	156
1382	1
139	166
1390	1
1392	2
1397	1
14	6153
140	131
1404	1
1408	1
1409	1
141	121
1410	1
1412	1
1413	1
1414	1
1418	1
1419	1
142	140
1420	1
1422	1
1424	1
143	142
1431	1
144	122
1443	1
1445	1
145	121
1451	2
146	137
1465	1
1468	1
1469	1
147	132
1471	1
1475	1
1478	2
148	137
14815	1
149	115
1491	1
15	5438
150	128
151	121
1518	1
152	126
1522	1
1523	1
1526	1
153	100
1534	1
154	123
1540	1
1548	1
155	107
1556	1
156	122
1563	2
1564	1
1569	1
157	122
1575	1
158	102
1580	1
1582	1
1585	2
1588	1
1589	1
159	101
1596	1
16	4907
160	114
1607	1
161	113
1614	1
1616	1
1618	1
162	116
1622	1
1624	1
163	111
1631	1
1634	1
164	92
1647	1
165	106
1650	1
166	114
167	83
1674	1
168	109
1689	1
169	96
17	4397
170	106
1705	1
171	91
1710	1
172	88
173	87
1732	1
1738	2
174	97
175	98
1751	1
176	115
1762	1
1765	1
1766	1
177	101
1771	1
178	86
1789	1
179	75
1796	3
1798	1
18	4042
180	79
181	85
182	82
1823	1
1829	1
183	85
1830	1
184	79
185	75
186	73
187	65
1878	1
188	66
189	66
19	3559
190	84
1904	1
191	74
1910	1
1915	1
192	78
1925	1
193	74
1935	1
1936	1
194	79
1940	2
1942	1
195	67
1958	1
196	71
197	64
198	69
199	67
2	180399
20	3389
200	81
2000	1
201	66
2012	1
202	69
203	54
2036	1
204	51
205	60
2059	1
206	63
2068	1
207	65
2075	1
2078	1
208	70
209	67
21	3022
210	66
211	63
212	65
2125	1
2129	1
213	66
2135	1
214	54
215	46
216	54
2165	1
2168	1
217	49
2177	1
218	43
219	57
2199	1
22	2758
220	54
2201	1
2204	1
221	48
2211	1
222	56
223	72
224	49
225	62
226	37
2267	1
227	53
228	38
229	45
23	2653
230	53
2304	1
231	57
232	59
2328	1
2329	1
233	44
234	61
235	61
2357	1
236	41
237	52
2375	1
238	28
239	45
24	2433
240	45
241	39
2411	1
242	43
243	36
244	51
2442	1
245	32
246	46
2461	1
247	36
2471	1
2477	2
248	36
2480	1
249	39
2498	1
2499	1
25	2363
250	41
251	29
252	39
2525	1
253	40
254	42
255	36
2557	1
2558	1
256	39
257	27
258	33
259	38
2591	1
26	2189
260	25
261	39
2610	1
262	45
263	37
264	31
2646	1
265	34
266	23
2665	1
267	34
268	27
269	35
27	2152
270	22
271	35
2710	1
2716	1
272	32
2729	1
273	32
274	26
2740	1
275	32
2757	1
276	43
277	41
278	32
279	43
28	1953
280	35
2809	1
281	44
282	32
2824	1
283	24
284	29
285	21
2856	1
286	27
287	34
288	18
289	31
2895	1
29	1811
290	27
291	19
292	23
293	26
2930	2
2935	1
294	28
295	38
296	22
2966	1
297	21
298	25
2986	1
299	29
2992	1
2999	1
3	95787
30	1760
300	24
3007	1
301	27
302	21
303	33
3033	1
304	32
305	18
306	35
307	11
308	25
309	15
3093	1
31	1693
310	28
311	15
312	22
313	24
314	26
315	21
316	18
317	17
318	29
319	24
32	1595
320	23
3205	1
321	25
322	13
323	29
324	27
325	24
326	22
3260	1
327	25
328	18
329	20
33	1525
330	18
3308	1
331	23
332	22
333	24
334	26
335	22
336	22
337	21
338	13
339	30
34	1508
340	5
341	20
342	23
343	21
344	22
3447	1
345	22
346	21
347	15
348	21
349	13
3493	1
3495	1
35	1343
350	23
351	21
352	24
353	19
354	9
355	20
356	17
357	17
358	23
359	23
36	1318
360	23
3600	1
361	18
362	16
363	15
364	19
365	11
366	12
367	16
368	24
369	13
37	1235
370	11
371	13
372	14
3726	1
373	15
374	16
3747	1
375	13
376	15
377	19
378	18
379	20
38	1222
380	18
381	15
382	23
383	14
384	18
385	18
386	10
387	8
388	16
389	15
39	1148
390	15
391	10
392	14
393	13
3938	1
